"","ctrl1a_data.Year","ctrl1a_data...2.","trt1a_data...2.","trt2a_data...2.","trt1b_data...2.","trt2b_data...2.","ctrl1a_ctrl1a","ctrl1a_trt1a","ctrl1a_trt2a","ctrl1a_trt1b","ctrl1a_trt2b","ctrl1a_trt1a_co2eq","ctrl1a_trt2a_co2eq","ctrl1a_trt1b_co2eq","ctrl1a_trt2b_co2eq"
"1",1850,2719.229074,2719.895158,2719.785677,2719.895158,2719.785677,0,0.666083999999955,0.556602999999996,0.666083999999955,0.556602999999996,-2.44452827999984,-2.04273300999998,-2.44452827999984,-2.04273300999998
"2",1851,2718.713508,2719.3211,2719.106439,2719.3211,2719.106439,0,0.607592000000295,0.392931000000317,0.607592000000295,0.392931000000317,-2.22986264000108,-1.44205677000116,-2.22986264000108,-1.44205677000116
"3",1852,2718.209867,2718.764897,2718.448819,2718.764897,2718.448819,0,0.555029999999988,0.238952000000154,0.555029999999988,0.238952000000154,-2.03696009999996,-0.876953840000565,-2.03696009999996,-0.876953840000565
"4",1853,2717.703199,2718.212628,2717.805706,2718.212628,2717.805706,0,0.509429000000182,0.10250700000006,0.509429000000182,0.10250700000006,-1.86960443000067,-0.376200690000219,-1.86960443000067,-0.376200690000219
"5",1854,2717.447773,2717.905085,2717.416695,2717.905085,2717.416695,0,0.457312000000002,-0.0310779999999795,0.457312000000002,-0.0310779999999795,-1.67833504000001,0.114056259999925,-1.67833504000001,0.114056259999925
"6",1855,2717.292419,2717.700941,2717.128749,2717.700941,2717.128749,0,0.408522000000175,-0.163669999999911,0.408522000000175,-0.163669999999911,-1.49927574000064,0.600668899999673,-1.49927574000064,0.600668899999673
"7",1856,2716.937729,2717.298112,2716.643256,2717.298112,2716.643256,0,0.360382999999729,-0.29447300000038,0.360382999999729,-0.29447300000038,-1.322605609999,1.08071591000139,-1.322605609999,1.08071591000139
"8",1857,2716.367815,2716.684851,2715.960728,2716.684851,2715.960728,0,0.317035999999916,-0.407087000000047,0.317035999999916,-0.407087000000047,-1.16352211999969,1.49400929000017,-1.16352211999969,1.49400929000017
"9",1858,2715.999244,2716.272024,2715.473133,2716.272024,2715.473133,0,0.272779999999784,-0.526111000000128,0.272779999999784,-0.526111000000128,-1.00110259999921,1.93082737000047,-1.00110259999921,1.93082737000047
"10",1859,2715.857897,2716.084792,2715.216402,2716.084792,2715.216402,0,0.226895000000241,-0.64149499999985,0.226895000000241,-0.64149499999985,-0.832704650000883,2.35428664999945,-0.832704650000883,2.35428664999945
"11",1860,2715.517047,2715.703137,2714.770687,2715.703137,2714.770687,0,0.186090000000149,-0.74635999999964,0.186090000000149,-0.74635999999964,-0.682950300000548,2.73914119999868,-0.682950300000548,2.73914119999868
"12",1861,2715.146473,2715.293415,2714.297901,2715.293415,2714.297901,0,0.146942000000308,-0.848571999999876,0.146942000000308,-0.848571999999876,-0.539277140001132,3.11425923999955,-0.539277140001132,3.11425923999955
"13",1862,2714.87839,2714.983686,2713.924222,2714.983686,2713.924222,0,0.10529600000018,-0.954167999999754,0.10529600000018,-0.954167999999754,-0.386436320000662,3.5017965599991,-0.386436320000662,3.5017965599991
"14",1863,2714.743707,2714.808392,2713.684003,2714.808392,2713.684003,0,0.0646849999998267,-1.05970400000024,0.0646849999998267,-1.05970400000024,-0.237393949999364,3.88911368000087,-0.237393949999364,3.88911368000087
"15",1864,2714.359584,2714.386208,2713.206607,2714.386208,2713.206607,0,0.0266240000000835,-1.15297699999974,0.0266240000000835,-1.15297699999974,-0.0977100800003063,4.23142558999904,-0.0977100800003063,4.23142558999904
"16",1865,2714.16305,2714.153804,2712.917166,2714.153804,2712.917166,0,-0.00924600000007558,-1.24588399999993,-0.00924600000007558,-1.24588399999993,0.0339328200002774,4.57239427999975,0.0339328200002774,4.57239427999975
"17",1866,2713.823209,2713.773067,2712.481781,2713.773067,2712.481781,0,-0.0501420000000508,-1.34142800000018,-0.0501420000000508,-1.34142800000018,0.184021140000186,4.92304076000065,0.184021140000186,4.92304076000065
"18",1867,2713.428805,2713.337573,2711.993001,2713.337573,2711.993001,0,-0.0912320000002182,-1.43580400000019,-0.0912320000002182,-1.43580400000019,0.334821440000801,5.26940068000069,0.334821440000801,5.26940068000069
"19",1868,2713.257656,2713.12605,2711.723945,2713.12605,2711.723945,0,-0.131606000000374,-1.53371100000004,-0.131606000000374,-1.53371100000004,0.482994020001374,5.62871937000014,0.482994020001374,5.62871937000014
"20",1869,2712.943758,2712.774976,2711.322287,2712.774976,2711.322287,0,-0.168781999999737,-1.62147099999993,-0.168781999999737,-1.62147099999993,0.619429939999036,5.95079856999974,0.619429939999036,5.95079856999974
"21",1870,2712.676219,2712.475944,2710.976228,2712.475944,2710.976228,0,-0.200275000000147,-1.69999099999995,-0.200275000000147,-1.69999099999995,0.735009250000539,6.23896696999983,0.735009250000539,6.23896696999983
"22",1871,2712.548276,2712.312909,2710.764476,2712.312909,2710.764476,0,-0.235366999999769,-1.78380000000016,-0.235366999999769,-1.78380000000016,0.863796889999153,6.54654600000057,0.863796889999153,6.54654600000057
"23",1872,2712.377334,2712.103777,2710.506301,2712.103777,2710.506301,0,-0.273556999999983,-1.8710329999999,-0.273556999999983,-1.8710329999999,1.00395418999994,6.86669110999962,1.00395418999994,6.86669110999962
"24",1873,2712.148817,2711.840287,2710.195323,2711.840287,2710.195323,0,-0.308529999999791,-1.95349399999986,-0.308529999999791,-1.95349399999986,1.13230509999923,7.1693229799995,1.13230509999923,7.1693229799995
"25",1874,2712.092752,2711.748479,2710.059393,2711.748479,2710.059393,0,-0.344273000000157,-2.03335900000002,-0.344273000000157,-2.03335900000002,1.26348191000058,7.46242753000007,1.26348191000058,7.46242753000007
"26",1875,2712.120492,2711.739483,2710.00162,2711.739483,2710.00162,0,-0.381009000000176,-2.11887200000001,-0.381009000000176,-2.11887200000001,1.39830303000065,7.77626024000004,1.39830303000065,7.77626024000004
"27",1876,2711.949077,2711.533037,2709.745213,2711.533037,2709.745213,0,-0.416040000000066,-2.20386400000007,-0.416040000000066,-2.20386400000007,1.52686680000024,8.08818088000024,1.52686680000024,8.08818088000024
"28",1877,2711.547485,2711.09684,2709.26556,2711.09684,2709.26556,0,-0.450644999999895,-2.28192500000023,-0.450644999999895,-2.28192500000023,1.65386714999961,8.37466475000084,1.65386714999961,8.37466475000084
"29",1878,2711.342823,2710.856162,2708.973069,2710.856162,2708.973069,0,-0.486660999999913,-2.36975399999983,-0.486660999999913,-2.36975399999983,1.78604586999968,8.69699717999938,1.78604586999968,8.69699717999938
"30",1879,2711.361101,2710.831477,2708.901675,2710.831477,2708.901675,0,-0.529623999999785,-2.45942599999989,-0.529623999999785,-2.45942599999989,1.94372007999921,9.02609341999961,1.94372007999921,9.02609341999961
"31",1880,2711.194856,2710.628049,2708.653436,2710.628049,2708.653436,0,-0.566807000000153,-2.54142000000002,-0.566807000000153,-2.54142000000002,2.08018169000056,9.32701140000006,2.08018169000056,9.32701140000006
"32",1881,2710.978478,2710.375435,2708.355098,2710.375435,2708.355098,0,-0.603043000000071,-2.62338,-0.603043000000071,-2.62338,2.21316781000026,9.62780459999999,2.21316781000026,9.62780459999999
"33",1882,2710.847033,2710.203673,2708.134188,2710.203673,2708.134188,0,-0.64336000000003,-2.71284500000002,-0.64336000000003,-2.71284500000002,2.36113120000011,9.95614115000006,2.36113120000011,9.95614115000006
"34",1883,2710.864473,2710.181921,2708.060543,2710.181921,2708.060543,0,-0.682552000000214,-2.80393000000004,-0.682552000000214,-2.80393000000004,2.50496584000079,10.2904231000001,2.50496584000079,10.2904231000001
"35",1884,2710.628378,2709.913771,2707.750066,2709.913771,2707.750066,0,-0.714606999999887,-2.87831199999982,-0.714606999999887,-2.87831199999982,2.62260768999959,10.5634050399994,2.62260768999959,10.5634050399994
"36",1885,2710.578748,2709.827849,2707.614962,2709.827849,2707.614962,0,-0.750899000000118,-2.9637859999998,-0.750899000000118,-2.9637859999998,2.75579933000043,10.8770946199993,2.75579933000043,10.8770946199993
"37",1886,2710.374924,2709.584763,2707.326454,2709.584763,2707.326454,0,-0.790161000000353,-3.04847000000018,-0.790161000000353,-3.04847000000018,2.8998908700013,11.1878849000007,2.8998908700013,11.1878849000007
"38",1887,2710.121457,2709.293533,2706.991992,2709.293533,2706.991992,0,-0.827924000000166,-3.12946499999998,-0.827924000000166,-3.12946499999998,3.03848108000061,11.4851365499999,3.03848108000061,11.4851365499999
"39",1888,2710.092584,2709.22331,2706.866637,2709.22331,2706.866637,0,-0.869274000000132,-3.22594699999991,-0.869274000000132,-3.22594699999991,3.19023558000049,11.8392254899997,3.19023558000049,11.8392254899997
"40",1889,2709.926842,2709.020733,2706.618806,2709.020733,2706.618806,0,-0.906109000000015,-3.3080359999999,-0.906109000000015,-3.3080359999999,3.32542003000005,12.1404921199996,3.32542003000005,12.1404921199996
"41",1890,2709.809326,2708.868497,2706.426054,2708.868497,2706.426054,0,-0.940829000000122,-3.38327200000003,-0.940829000000122,-3.38327200000003,3.45284243000045,12.4166082400001,3.45284243000045,12.4166082400001
"42",1891,2709.820266,2708.839513,2706.352491,2708.839513,2706.352491,0,-0.980753000000277,-3.46777500000007,-0.980753000000277,-3.46777500000007,3.59936351000102,12.7267342500003,3.59936351000102,12.7267342500003
"43",1892,2709.778651,2708.756005,2706.22469,2708.756005,2706.22469,0,-1.0226459999999,-3.55396100000007,-1.0226459999999,-3.55396100000007,3.75311081999962,13.0430368700003,3.75311081999962,13.0430368700003
"44",1893,2709.678561,2708.628295,2706.055362,2708.628295,2706.055362,0,-1.05026600000019,-3.62319900000011,-1.05026600000019,-3.62319900000011,3.85447622000071,13.2971403300004,3.85447622000071,13.2971403300004
"45",1894,2709.735197,2708.647046,2706.033238,2708.647046,2706.033238,0,-1.08815099999993,-3.70195899999999,-1.08815099999993,-3.70195899999999,3.99351416999973,13.58618953,3.99351416999973,13.58618953
"46",1895,2709.886814,2708.759532,2706.100145,2708.759532,2706.100145,0,-1.12728199999992,-3.78666900000007,-1.12728199999992,-3.78666900000007,4.13712493999972,13.8970752300003,4.13712493999972,13.8970752300003
"47",1896,2709.838968,2708.676125,2705.973461,2708.676125,2705.973461,0,-1.16284300000007,-3.86550699999998,-1.16284300000007,-3.86550699999998,4.26763381000024,14.1864106899999,4.26763381000024,14.1864106899999
"48",1897,2709.552483,2708.359839,2705.618665,2708.359839,2705.618665,0,-1.19264399999975,-3.93381799999997,-1.19264399999975,-3.93381799999997,4.37700347999907,14.4371120599999,4.37700347999907,14.4371120599999
"49",1898,2709.444744,2708.219063,2705.430455,2708.219063,2705.430455,0,-1.22568099999989,-4.01428899999974,-1.22568099999989,-4.01428899999974,4.49824926999961,14.732440629999,4.49824926999961,14.732440629999
"50",1899,2709.56477,2708.297968,2705.467571,2708.297968,2705.467571,0,-1.2668020000001,-4.09719899999982,-1.2668020000001,-4.09719899999982,4.64916334000036,15.0367203299993,4.64916334000036,15.0367203299993
"51",1900,2709.498203,2708.196515,2705.324891,2708.196515,2705.324891,0,-1.30168800000001,-4.1733119999999,-1.30168800000001,-4.1733119999999,4.77719496000005,15.3160550399996,4.77719496000005,15.3160550399996
"52",1901,2709.369464,2708.034545,2705.120493,2708.034545,2705.120493,0,-1.3349189999999,-4.24897099999998,-1.3349189999999,-4.24897099999998,4.89915272999963,15.5937235699999,4.89915272999963,15.5937235699999
"53",1902,2709.322601,2707.946735,2704.98683,2707.946735,2704.98683,0,-1.37586599999986,-4.33577100000002,-1.37586599999986,-4.33577100000002,5.04942821999949,15.9122795700001,5.04942821999949,15.9122795700001
"54",1903,2709.428821,2708.015593,2705.005242,2708.015593,2705.005242,0,-1.41322799999989,-4.42357899999979,-1.41322799999989,-4.42357899999979,5.1865467599996,16.2345349299992,5.1865467599996,16.2345349299992
"55",1904,2709.275025,2707.829237,2704.78068,2707.829237,2704.78068,0,-1.44578799999999,-4.49434500000007,-1.44578799999999,-4.49434500000007,5.30604195999998,16.4942461500002,5.30604195999998,16.4942461500002
"56",1905,2709.310145,2707.827797,2704.730436,2707.827797,2704.730436,0,-1.482348,-4.57970900000009,-1.482348,-4.57970900000009,5.44021716000001,16.8075320300003,5.44021716000001,16.8075320300003
"57",1906,2709.184893,2707.662587,2704.521157,2707.662587,2704.521157,0,-1.5223060000003,-4.66373599999997,-1.5223060000003,-4.66373599999997,5.5868630200011,17.1159111199999,5.5868630200011,17.1159111199999
"58",1907,2708.995954,2707.433758,2704.251216,2707.433758,2704.251216,0,-1.56219599999986,-4.74473799999987,-1.56219599999986,-4.74473799999987,5.73325931999948,17.4131884599995,5.73325931999948,17.4131884599995
"59",1908,2709.03402,2707.436082,2704.197076,2707.436082,2704.197076,0,-1.59793799999989,-4.83694400000013,-1.59793799999989,-4.83694400000013,5.86443245999958,17.7515844800005,5.86443245999958,17.7515844800005
"60",1909,2708.926854,2707.290912,2704.006558,2707.290912,2704.006558,0,-1.63594199999989,-4.92029599999978,-1.63594199999989,-4.92029599999978,6.00390713999958,18.0574863199992,6.00390713999958,18.0574863199992
"61",1910,2708.873315,2707.205795,2703.882152,2707.205795,2703.882152,0,-1.66751999999997,-4.99116299999969,-1.66751999999997,-4.99116299999969,6.11979839999988,18.3175682099989,6.11979839999988,18.3175682099989
"62",1911,2708.940082,2707.230716,2703.863969,2707.230716,2703.863969,0,-1.70936600000005,-5.07611300000008,-1.70936600000005,-5.07611300000008,6.27337322000017,18.6293347100003,6.27337322000017,18.6293347100003
"63",1912,2708.950188,2707.199133,2703.787428,2707.199133,2703.787428,0,-1.75105499999972,-5.16275999999971,-1.75105499999972,-5.16275999999971,6.42637184999899,18.9473291999989,6.42637184999899,18.9473291999989
"64",1913,2708.910322,2707.128643,2703.674697,2707.128643,2703.674697,0,-1.78167900000017,-5.23562500000025,-1.78167900000017,-5.23562500000025,6.53876193000061,19.2147437500009,6.53876193000061,19.2147437500009
"65",1914,2709.020198,2707.198638,2703.705985,2707.198638,2703.705985,0,-1.82156000000032,-5.31421300000011,-1.82156000000032,-5.31421300000011,6.68512520000117,19.5031617100004,6.68512520000117,19.5031617100004
"66",1915,2709.201068,2707.343524,2703.805891,2707.343524,2703.805891,0,-1.85754399999996,-5.39517699999988,-1.85754399999996,-5.39517699999988,6.81718647999986,19.8002995899995,6.81718647999986,19.8002995899995
"67",1916,2709.184574,2707.292313,2703.71295,2707.292313,2703.71295,0,-1.89226099999996,-5.47162399999979,-1.89226099999996,-5.47162399999979,6.94459786999986,20.0808600799992,6.94459786999986,20.0808600799992
"68",1917,2708.932297,2707.00406,2703.38815,2707.00406,2703.38815,0,-1.92823699999963,-5.54414699999961,-1.92823699999963,-5.54414699999961,7.07662978999863,20.3470194899986,7.07662978999863,20.3470194899986
"69",1918,2708.855993,2706.890204,2703.229389,2706.890204,2703.229389,0,-1.96578900000031,-5.62660400000004,-1.96578900000031,-5.62660400000004,7.21444563000115,20.6496366800002,7.21444563000115,20.6496366800002
"70",1919,2709.004826,2706.995975,2703.293164,2706.995975,2703.293164,0,-2.00885100000005,-5.71166199999971,-2.00885100000005,-5.71166199999971,7.37248317000018,20.9617995399989,7.37248317000018,20.9617995399989
"71",1920,2708.96673,2706.919553,2703.176327,2706.919553,2703.176327,0,-2.04717699999992,-5.79040299999997,-2.04717699999992,-5.79040299999997,7.5131395899997,21.2507790099999,7.5131395899997,21.2507790099999
"72",1921,2708.790942,2706.703917,2702.921435,2706.703917,2702.921435,0,-2.08702500000027,-5.86950699999989,-2.08702500000027,-5.86950699999989,7.65938175000098,21.5410906899996,7.65938175000098,21.5410906899996
"73",1922,2708.729817,2706.597617,2702.767136,2706.597617,2702.767136,0,-2.13220000000001,-5.96268099999998,-2.13220000000001,-5.96268099999998,7.82517400000004,21.8830392699999,7.82517400000004,21.8830392699999
"74",1923,2708.589827,2706.420254,2702.544148,2706.420254,2702.544148,0,-2.16957299999967,-6.04567899999984,-2.16957299999967,-6.04567899999984,7.9623329099988,22.1876419299994,7.9623329099988,22.1876419299994
"75",1924,2708.622455,2706.415503,2702.497425,2706.415503,2702.497425,0,-2.206952,-6.12503000000015,-2.206952,-6.12503000000015,8.09951384,22.4788601000006,8.09951384,22.4788601000006
"76",1925,2708.568298,2706.32285,2702.3577,2706.32285,2702.3577,0,-2.24544800000012,-6.21059800000012,-2.24544800000012,-6.21059800000012,8.24079416000045,22.7928946600004,8.24079416000045,22.7928946600004
"77",1926,2708.394145,2706.111308,2702.100824,2706.111308,2702.100824,0,-2.2828370000002,-6.29332100000011,-2.2828370000002,-6.29332100000011,8.37801179000073,23.0964880700004,8.37801179000073,23.0964880700004
"78",1927,2708.26251,2705.941842,2701.890396,2705.941842,2701.890396,0,-2.32066799999984,-6.37211400000024,-2.32066799999984,-6.37211400000024,8.51685155999942,23.3856583800009,8.51685155999942,23.3856583800009
"79",1928,2708.235954,2705.874076,2701.771632,2705.874076,2701.771632,0,-2.36187800000016,-6.46432200000027,-2.36187800000016,-6.46432200000027,8.66809226000059,23.724061740001,8.66809226000059,23.724061740001
"80",1929,2708.172671,2705.776279,2701.633076,2705.776279,2701.633076,0,-2.39639199999965,-6.53959499999974,-2.39639199999965,-6.53959499999974,8.79475863999872,24.000313649999,8.79475863999872,24.000313649999
"81",1930,2708.03902,2705.599732,2701.406882,2705.599732,2701.406882,0,-2.43928800000003,-6.63213799999994,-2.43928800000003,-6.63213799999994,8.95218696000012,24.3399464599998,8.95218696000012,24.3399464599998
"82",1931,2707.953262,2705.473295,2701.239007,2705.473295,2701.239007,0,-2.47996700000022,-6.71425499999987,-2.47996700000022,-6.71425499999987,9.10147889000079,24.6413158499995,9.10147889000079,24.6413158499995
"83",1932,2707.594609,2705.072016,2700.783407,2705.072016,2700.783407,0,-2.52259300000014,-6.81120200000032,-2.52259300000014,-6.81120200000032,9.25791631000052,24.9971113400012,9.25791631000052,24.9971113400012
"84",1933,2707.313207,2704.753309,2700.41675,2704.753309,2700.41675,0,-2.55989799999998,-6.89645700000028,-2.55989799999998,-6.89645700000028,9.39482565999991,25.309997190001,9.39482565999991,25.309997190001
"85",1934,2707.077426,2704.480761,2700.105041,2704.480761,2700.105041,0,-2.59666500000003,-6.97238500000003,-2.59666500000003,-6.97238500000003,9.52976055000011,25.5886529500001,9.52976055000011,25.5886529500001
"86",1935,2707.09416,2704.457947,2700.040697,2704.457947,2700.040697,0,-2.63621300000023,-7.05346300000019,-2.63621300000023,-7.05346300000019,9.67490171000083,25.8862092100007,9.67490171000083,25.8862092100007
"87",1936,2707.044194,2704.366939,2699.90161,2704.366939,2699.90161,0,-2.67725500000006,-7.14258400000017,-2.67725500000006,-7.14258400000017,9.82552585000022,26.2132832800006,9.82552585000022,26.2132832800006
"88",1937,2706.994314,2704.270385,2699.75691,2704.270385,2699.75691,0,-2.72392900000023,-7.23740399999997,-2.72392900000023,-7.23740399999997,9.99681943000083,26.5612726799999,9.99681943000083,26.5612726799999
"89",1938,2706.862864,2704.099315,2699.538445,2704.099315,2699.538445,0,-2.76354900000024,-7.32441900000003,-2.76354900000024,-7.32441900000003,10.1422248300009,26.8806177300001,10.1422248300009,26.8806177300001
"90",1939,2706.642964,2703.843175,2699.23313,2703.843175,2699.23313,0,-2.79978900000015,-7.40983400000005,-2.79978900000015,-7.40983400000005,10.2752256300005,27.1940907800002,10.2752256300005,27.1940907800002
"91",1940,2706.56269,2703.726309,2699.070097,2703.726309,2699.070097,0,-2.83638100000007,-7.4925930000004,-2.83638100000007,-7.4925930000004,10.4095182700003,27.4978163100015,10.4095182700003,27.4978163100015
"92",1941,2706.618361,2703.738996,2699.034025,2703.738996,2699.034025,0,-2.87936499999978,-7.58433599999989,-2.87936499999978,-7.58433599999989,10.5672695499992,27.8345131199996,10.5672695499992,27.8345131199996
"93",1942,2706.551585,2703.629866,2698.872907,2703.629866,2698.872907,0,-2.92171899999994,-7.67867800000022,-2.92171899999994,-7.67867800000022,10.7227087299998,28.1807482600008,10.7227087299998,28.1807482600008
"94",1943,2706.366172,2703.404312,2698.593952,2703.404312,2698.593952,0,-2.96185999999989,-7.77221999999983,-2.96185999999989,-7.77221999999983,10.8700261999996,28.5240473999994,10.8700261999996,28.5240473999994
"95",1944,2706.206327,2703.201919,2698.337273,2703.201919,2698.337273,0,-3.00440799999978,-7.86905399999978,-3.00440799999978,-7.86905399999978,11.0261773599992,28.8794281799992,11.0261773599992,28.8794281799992
"96",1945,2706.062626,2703.021427,2698.120892,2703.021427,2698.120892,0,-3.04119899999978,-7.941734,-3.04119899999978,-7.941734,11.1612003299992,29.14616378,11.1612003299992,29.14616378
"97",1946,2705.790258,2702.707131,2697.759613,2702.707131,2697.759613,0,-3.08312699999988,-8.03064499999982,-3.08312699999988,-8.03064499999982,11.3150760899995,29.4724671499993,11.3150760899995,29.4724671499993
"98",1947,2705.690166,2702.569893,2697.572763,2702.569893,2697.572763,0,-3.120273,-8.11740299999974,-3.120273,-8.11740299999974,11.45140191,29.790869009999,11.45140191,29.790869009999
"99",1948,2705.510797,2702.349084,2697.304932,2702.349084,2697.304932,0,-3.16171299999996,-8.2058649999999,-3.16171299999996,-8.2058649999999,11.6034867099999,30.1155245499996,11.6034867099999,30.1155245499996
"100",1949,2705.476393,2702.278759,2697.184993,2702.278759,2697.184993,0,-3.19763400000011,-8.29140000000007,-3.19763400000011,-8.29140000000007,11.7353167800004,30.4294380000002,11.7353167800004,30.4294380000002
"101",1950,2705.224526,2701.987313,2696.853535,2701.987313,2696.853535,0,-3.23721299999988,-8.37099099999978,-3.23721299999988,-8.37099099999978,11.8805717099996,30.7215369699992,11.8805717099996,30.7215369699992
"102",1951,2705.186839,2701.910061,2696.724067,2701.910061,2696.724067,0,-3.27677799999992,-8.46277199999986,-3.27677799999992,-8.46277199999986,12.0257752599997,31.0583732399995,12.0257752599997,31.0583732399995
"103",1952,2705.272064,2701.955827,2696.718098,2701.955827,2696.718098,0,-3.31623699999955,-8.55396599999995,-3.31623699999955,-8.55396599999995,12.1705897899983,31.3930552199998,12.1705897899983,31.3930552199998
"104",1953,2705.255339,2701.890185,2696.586228,2701.890185,2696.586228,0,-3.36515399999962,-8.6691109999997,-3.36515399999962,-8.6691109999997,12.3501151799986,31.8156373699989,12.3501151799986,31.8156373699989
"105",1954,2705.108366,2701.696053,2696.325105,2701.696053,2696.325105,0,-3.41231299999981,-8.78326100000004,-3.41231299999981,-8.78326100000004,12.5231887099993,32.2345678700001,12.5231887099993,32.2345678700001
"106",1955,2705.006293,2701.544426,2696.111484,2701.544426,2696.111484,0,-3.46186699999998,-8.8948089999999,-3.46186699999998,-8.8948089999999,12.7050518899999,32.6439490299996,12.7050518899999,32.6439490299996
"107",1956,2704.93595,2701.426099,2695.917611,2701.426099,2695.917611,0,-3.50985100000025,-9.0183390000002,-3.50985100000025,-9.0183390000002,12.8811531700009,33.0973041300007,12.8811531700009,33.0973041300007
"108",1957,2704.903573,2701.345404,2695.770047,2701.345404,2695.770047,0,-3.55816899999991,-9.13352600000007,-3.55816899999991,-9.13352600000007,13.0584802299997,33.5200404200003,13.0584802299997,33.5200404200003
"109",1958,2705.060185,2701.450447,2695.816918,2701.450447,2695.816918,0,-3.60973799999965,-9.24326699999983,-3.60973799999965,-9.24326699999983,13.2477384599987,33.9227898899994,13.2477384599987,33.9227898899994
"110",1959,2705.107532,2701.448207,2695.742286,2701.448207,2695.742286,0,-3.65932500000008,-9.36524599999984,-3.65932500000008,-9.36524599999984,13.4297227500003,34.3704528199994,13.4297227500003,34.3704528199994
"111",1960,2705.138241,2701.424606,2695.642094,2701.424606,2695.642094,0,-3.71363500000007,-9.49614700000029,-3.71363500000007,-9.49614700000029,13.6290404500002,34.8508594900011,13.6290404500002,34.8508594900011
"112",1961,2705.110797,2701.341964,2695.494537,2701.341964,2695.494537,0,-3.76883299999963,-9.61625999999978,-3.76883299999963,-9.61625999999978,13.8316171099986,35.2916741999992,13.8316171099986,35.2916741999992
"113",1962,2705.235677,2701.41085,2695.479947,2701.41085,2695.479947,0,-3.82482699999991,-9.75573000000031,-3.82482699999991,-9.75573000000031,14.0371150899997,35.8035291000011,14.0371150899997,35.8035291000011
"114",1963,2705.249055,2701.369039,2695.368413,2701.369039,2695.368413,0,-3.88001600000007,-9.88064200000008,-3.88001600000007,-9.88064200000008,14.2396587200003,36.2619561400003,14.2396587200003,36.2619561400003
"115",1964,2705.380801,2701.443482,2695.361748,2701.443482,2695.361748,0,-3.93731899999966,-10.019053,-3.93731899999966,-10.019053,14.4499607299988,36.7699245099999,14.4499607299988,36.7699245099999
"116",1965,2705.423442,2701.42959,2695.274135,2701.42959,2695.274135,0,-3.99385199999961,-10.1493069999997,-3.99385199999961,-10.1493069999997,14.6574368399986,37.2479566899988,14.6574368399986,37.2479566899988
"117",1966,2705.644608,2701.589976,2695.357828,2701.589976,2695.357828,0,-4.05463199999986,-10.2867799999999,-4.05463199999986,-10.2867799999999,14.8804994399995,37.7524825999997,14.8804994399995,37.7524825999997
"118",1967,2705.709446,2701.597468,2695.287226,2701.597468,2695.287226,0,-4.11197799999991,-10.4222199999999,-4.11197799999991,-10.4222199999999,15.0909592599997,38.2495473999997,15.0909592599997,38.2495473999997
"119",1968,2705.938239,2701.767659,2695.388247,2701.767659,2695.388247,0,-4.17057999999997,-10.5499920000002,-4.17057999999997,-10.5499920000002,15.3060285999999,38.7184706400007,15.3060285999999,38.7184706400007
"120",1969,2706.130265,2701.903317,2695.440654,2701.903317,2695.440654,0,-4.22694799999999,-10.6896109999998,-4.22694799999999,-10.6896109999998,15.51289916,39.2308723699992,15.51289916,39.2308723699992
"121",1970,2706.295985,2702.006096,2695.451639,2702.006096,2695.451639,0,-4.28988900000013,-10.8443460000003,-4.28988900000013,-10.8443460000003,15.7438926300005,39.7987498200012,15.7438926300005,39.7987498200012
"122",1971,2706.495516,2702.152275,2695.509843,2702.152275,2695.509843,0,-4.34324100000003,-10.9856730000001,-4.34324100000003,-10.9856730000001,15.9396944700001,40.3174199100005,15.9396944700001,40.3174199100005
"123",1972,2706.712869,2702.313486,2695.591801,2702.313486,2695.591801,0,-4.39938299999994,-11.1210679999999,-4.39938299999994,-11.1210679999999,16.1457356099998,40.8143195599997,16.1457356099998,40.8143195599997
